run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	instrument_model	experiment_alias	fastq_bytes	fastq_ftp	submitted_bytes	submitted_ftp	sra_bytes	sra_ftp	sample_alias	bam_ftp	bam_bytes
SRR19762421	SAMN29221337	SRX15807029	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03741_batch08_rep1	1409238448;1411638075	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/021/SRR19762421/SRR19762421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/021/SRR19762421/SRR19762421_2.fastq.gz			2014439431	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/021/SRR19762421/SRR19762421.lite	HG03741		
SRR19762505	SAMN29221368	SRX15807245	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03977_batch04_rep1	1263402227;1270683729	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/005/SRR19762505/SRR19762505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/005/SRR19762505/SRR19762505_2.fastq.gz			1874920976	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/005/SRR19762505/SRR19762505.lite	HG03977		
SRR19762432	SAMN29221291	SRX15807020	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03397_batch06_rep1	1385766549;1403261482	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/032/SRR19762432/SRR19762432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/032/SRR19762432/SRR19762432_2.fastq.gz			1979281248	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/032/SRR19762432/SRR19762432.lite	HG03397		
SRR19762436	SAMN29221289	SRX15807017	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03380_batch01_rep1	1515074255;1516904606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/036/SRR19762436/SRR19762436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/036/SRR19762436/SRR19762436_2.fastq.gz			2151272738	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/036/SRR19762436/SRR19762436.lite	HG03380		
SRR19762507	SAMN29221370	SRX15807247	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03989_batch01_rep1	1572844379;1575166898	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/007/SRR19762507/SRR19762507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/007/SRR19762507/SRR19762507_2.fastq.gz			2231684410	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/007/SRR19762507/SRR19762507.lite	HG03989		
SRR19762437	SAMN29221290	SRX15807019	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03382_batch08_rep1	1760625811;1764198541	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/037/SRR19762437/SRR19762437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/037/SRR19762437/SRR19762437_2.fastq.gz			2530197139	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/037/SRR19762437/SRR19762437.lite	HG03382		
SRR19762510	SAMN29221365	SRX15807241	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03934_batch07_rep1	1369183620;1371472831	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/010/SRR19762510/SRR19762510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/010/SRR19762510/SRR19762510_2.fastq.gz			1965415001	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/010/SRR19762510/SRR19762510.lite	HG03934		
SRR19762440	SAMN29221245	SRX15807011	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02855_batch15_rep1	1268702369;1270842917	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/040/SRR19762440/SRR19762440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/040/SRR19762440/SRR19762440_2.fastq.gz			1813642991	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/040/SRR19762440/SRR19762440.lite	HG02855		
SRR19762512	SAMN29221361	SRX15807238	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03900_batch01_rep1	1704885683;1707557194	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/012/SRR19762512/SRR19762512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/012/SRR19762512/SRR19762512_2.fastq.gz			2421791711	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/012/SRR19762512/SRR19762512.lite	HG03900		
SRR19762442	SAMN29221242	SRX15807008	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02817_batch06_rep1	1467956747;1486512550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/042/SRR19762442/SRR19762442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/042/SRR19762442/SRR19762442_2.fastq.gz			2099853822	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/042/SRR19762442/SRR19762442.lite	HG02817		
SRR19762448	SAMN29221237	SRX15807002	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02792_batch07_rep1	1362727991;1364344501	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/048/SRR19762448/SRR19762448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/048/SRR19762448/SRR19762448_2.fastq.gz			1942937777	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/048/SRR19762448/SRR19762448.lite	HG02792		
SRR19762513	SAMN29221362	SRX15807237	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03902_batch06_rep1	1708004229;1728118216	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/013/SRR19762513/SRR19762513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/013/SRR19762513/SRR19762513_2.fastq.gz			2440020998	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/013/SRR19762513/SRR19762513.lite	HG03902		
SRR19762449	SAMN29221236	SRX15807001	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02789_batch14_rep1	1389530897;1393048941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/049/SRR19762449/SRR19762449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/049/SRR19762449/SRR19762449_2.fastq.gz			2027640058	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/049/SRR19762449/SRR19762449.lite	HG02789		
SRR19762451	SAMN29220947	SRX15807005	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00188_batch03_rep2	1248132338;1252579924	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/051/SRR19762451/SRR19762451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/051/SRR19762451/SRR19762451_2.fastq.gz			1787427465	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/051/SRR19762451/SRR19762451.lite	HG00188		
SRR19762514	SAMN29221364	SRX15807240	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03922_batch01_rep1	1559445122;1561968574	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/014/SRR19762514/SRR19762514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/014/SRR19762514/SRR19762514_2.fastq.gz			2216890143	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/014/SRR19762514/SRR19762514.lite	HG03922		
SRR19762452	SAMN29221235	SRX15807000	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02768_batch04_rep1	1338457011;1342517389	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/052/SRR19762452/SRR19762452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/052/SRR19762452/SRR19762452_2.fastq.gz			1967710409	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/052/SRR19762452/SRR19762452.lite	HG02768		
SRR19762516	SAMN29221360	SRX15807236	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03898_batch10_rep1	1637733924;1645864096	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/016/SRR19762516/SRR19762516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/016/SRR19762516/SRR19762516_2.fastq.gz			2334686200	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/016/SRR19762516/SRR19762516.lite	HG03898		
SRR19762453	SAMN29221234	SRX15806999	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02737_batch03_rep1	1354656356;1358167315	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/053/SRR19762453/SRR19762453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/053/SRR19762453/SRR19762453_2.fastq.gz			1906766746	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/053/SRR19762453/SRR19762453.lite	HG02737		
SRR19762517	SAMN29221320	SRX15807234	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03646_batch14_rep1	1324015399;1325754797	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/017/SRR19762517/SRR19762517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/017/SRR19762517/SRR19762517_2.fastq.gz			1898088780	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/017/SRR19762517/SRR19762517.lite	HG03646		
SRR19762456	SAMN29221217	SRX15806994	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02620_batch06_rep1	1456508819;1474090013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/056/SRR19762456/SRR19762456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/056/SRR19762456/SRR19762456_2.fastq.gz			2071657444	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/056/SRR19762456/SRR19762456.lite	HG02620		
SRR19762520	SAMN29221318	SRX15807230	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03616_batch08_rep1	1700216165;1703086836	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/020/SRR19762520/SRR19762520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/020/SRR19762520/SRR19762520_2.fastq.gz			2429972605	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/020/SRR19762520/SRR19762520.lite	HG03616		
SRR19762461	SAMN29221213	SRX15806990	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02601_batch05_rep1	2413829349;2409898599	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/061/SRR19762461/SRR19762461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/061/SRR19762461/SRR19762461_2.fastq.gz			3496766797	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/061/SRR19762461/SRR19762461.lite	HG02601		
SRR19762465	SAMN29221514	SRX15807585	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19117_batch13_rep2	1281483545;1285284045	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/065/SRR19762465/SRR19762465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/065/SRR19762465/SRR19762465_2.fastq.gz			1850155424	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/065/SRR19762465/SRR19762465.lite	NA19117		
SRR19762523	SAMN29221316	SRX15807229	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03598_batch17_rep1	4125633768;4124351875	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/023/SRR19762523/SRR19762523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/023/SRR19762523/SRR19762523_2.fastq.gz			5843145765	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/023/SRR19762523/SRR19762523.lite	HG03598		
SRR19762469	SAMN29221512	SRX15807281	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19095_batch03_rep1	1370284638;1372752834	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/069/SRR19762469/SRR19762469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/069/SRR19762469/SRR19762469_2.fastq.gz			1926602357	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/069/SRR19762469/SRR19762469.lite	NA19095		
SRR19762525	SAMN29221312	SRX15807225	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03589_batch16_rep1	1605721270;1614995603	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/025/SRR19762525/SRR19762525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/025/SRR19762525/SRR19762525_2.fastq.gz			2346679853	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/025/SRR19762525/SRR19762525.lite	HG03589		
SRR19762471	SAMN29221511	SRX15807279	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19081_batch03_rep1	1363020179;1378634685	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/071/SRR19762471/SRR19762471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/071/SRR19762471/SRR19762471_2.fastq.gz			1987600187	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/071/SRR19762471/SRR19762471.lite	NA19081		
SRR19762476	SAMN29221468	SRX15807274	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18861_batch15_rep3	1310129436;1312015363	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/076/SRR19762476/SRR19762476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/076/SRR19762476/SRR19762476_2.fastq.gz			1874945318	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/076/SRR19762476/SRR19762476.lite	NA18861		
SRR19762526	SAMN29221310	SRX15807224	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03578_batch14_rep1	1900047593;1901740248	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/026/SRR19762526/SRR19762526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/026/SRR19762526/SRR19762526_2.fastq.gz			2714476310	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/026/SRR19762526/SRR19762526.lite	HG03578		
SRR19762478	SAMN29220963	SRX15807272	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00311_batch13_rep3	1283263937;1285693690	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/078/SRR19762478/SRR19762478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/078/SRR19762478/SRR19762478_2.fastq.gz			1847151267	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/078/SRR19762478/SRR19762478.lite	HG00311		
SRR19762480	SAMN29221471	SRX15807277	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18874_batch09_rep1	1853024927;1859401713	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/080/SRR19762480/SRR19762480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/080/SRR19762480/SRR19762480_2.fastq.gz			2673139959	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/080/SRR19762480/SRR19762480.lite	NA18874		
SRR19762482	SAMN29221466	SRX15807269	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18853_batch03_rep1	1113906924;1119178225	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/082/SRR19762482/SRR19762482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/082/SRR19762482/SRR19762482_2.fastq.gz			1585711861	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/082/SRR19762482/SRR19762482.lite	NA18853		
SRR19762486	SAMN29221465	SRX15807268	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18749_batch08_rep1	1230660641;1232435053	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/086/SRR19762486/SRR19762486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/086/SRR19762486/SRR19762486_2.fastq.gz			1761990346	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/086/SRR19762486/SRR19762486.lite	NA18749		
SRR19762488	SAMN29221461	SRX15807264	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18639_batch08_rep1	1584977079;1586915722	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/088/SRR19762488/SRR19762488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/088/SRR19762488/SRR19762488_2.fastq.gz			2268317987	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/088/SRR19762488/SRR19762488.lite	NA18639		
SRR19762528	SAMN29221313	SRX15807226	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03593_batch11_rep1	1391068568;1395275291	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/028/SRR19762528/SRR19762528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/028/SRR19762528/SRR19762528_2.fastq.gz			2022785337	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/028/SRR19762528/SRR19762528.lite	HG03593		
SRR19762498	SAMN29221411	SRX15807252	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA12275_batch14_rep1	1402482199;1404404770	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/098/SRR19762498/SRR19762498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/098/SRR19762498/SRR19762498_2.fastq.gz			2010630583	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/098/SRR19762498/SRR19762498.lite	NA12275		
SRR19762534	SAMN29221268	SRX15807216	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03105_batch07_rep1	1757918491;1760607877	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/034/SRR19762534/SRR19762534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/034/SRR19762534/SRR19762534_2.fastq.gz			2495335454	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/034/SRR19762534/SRR19762534.lite	HG03105		
SRR19762506	SAMN29221369	SRX15807244	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03978_batch07_rep1	1940457955;1942756269	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR19762506/SRR19762506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR19762506/SRR19762506_2.fastq.gz			2753739436	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/006/SRR19762506/SRR19762506.lite	HG03978		
SRR19762508	SAMN29221372	SRX15807249	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG04002_batch02_rep1	1795671491;1797321080	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/008/SRR19762508/SRR19762508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/008/SRR19762508/SRR19762508_2.fastq.gz			2548749294	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/008/SRR19762508/SRR19762508.lite	HG04002		
SRR19762535	SAMN29220948	SRX15807219	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00189_batch09_rep2	2150685311;2158897853	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/035/SRR19762535/SRR19762535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/035/SRR19762535/SRR19762535_2.fastq.gz			3104582927	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/035/SRR19762535/SRR19762535.lite	HG00189		
SRR19762511	SAMN29221363	SRX15807239	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03910_batch15_rep1	1407253390;1408378956	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/011/SRR19762511/SRR19762511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/011/SRR19762511/SRR19762511_2.fastq.gz			1991379427	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/011/SRR19762511/SRR19762511.lite	HG03910		
SRR19762515	SAMN29221366	SRX15807242	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03971_batch02_rep1	1526916709;1528593261	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/015/SRR19762515/SRR19762515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/015/SRR19762515/SRR19762515_2.fastq.gz			2168112811	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/015/SRR19762515/SRR19762515.lite	HG03971		
SRR19762539	SAMN29221262	SRX15807211	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03069_batch06_rep1	1302252186;1320221864	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/039/SRR19762539/SRR19762539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/039/SRR19762539/SRR19762539_2.fastq.gz			1863732314	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/039/SRR19762539/SRR19762539.lite	HG03069		
SRR19762518	SAMN29221319	SRX15807232	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03631_batch10_rep1	1720878402;1728832687	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/018/SRR19762518/SRR19762518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/018/SRR19762518/SRR19762518_2.fastq.gz			2461163847	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/018/SRR19762518/SRR19762518.lite	HG03631		
SRR19762521	SAMN29220951	SRX15807233	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00237_batch07_rep1	1675323707;1677439423	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/021/SRR19762521/SRR19762521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/021/SRR19762521/SRR19762521_2.fastq.gz			2376899150	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/021/SRR19762521/SRR19762521.lite	HG00237		
SRR19762544	SAMN29220948	SRX15807208	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00189_batch09_rep1	1426250772;1431556501	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/044/SRR19762544/SRR19762544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/044/SRR19762544/SRR19762544_2.fastq.gz			2047297716	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/044/SRR19762544/SRR19762544.lite	HG00189		
SRR19762522	SAMN29221321	SRX15807235	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03660_batch09_rep1	1921896899;1928283383	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/022/SRR19762522/SRR19762522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/022/SRR19762522/SRR19762522_2.fastq.gz			2752890184	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/022/SRR19762522/SRR19762522.lite	HG03660		
SRR19762531	SAMN29221270	SRX15807220	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03118_batch06_rep1	1340872867;1357419948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/031/SRR19762531/SRR19762531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/031/SRR19762531/SRR19762531_2.fastq.gz			1911066963	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/031/SRR19762531/SRR19762531.lite	HG03118		
SRR19762548	SAMN29220947	SRX15807202	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00188_batch03_rep1	1198130061;1203267510	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/048/SRR19762548/SRR19762548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/048/SRR19762548/SRR19762548_2.fastq.gz			1715895111	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/048/SRR19762548/SRR19762548.lite	HG00188		
SRR19762532	SAMN29221269	SRX15807218	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03117_batch07_rep1	1438695430;1446565248	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/032/SRR19762532/SRR19762532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/032/SRR19762532/SRR19762532_2.fastq.gz			2075518369	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/032/SRR19762532/SRR19762532.lite	HG03117		
SRR19762533	SAMN29221267	SRX15807217	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03097_batch04_rep1	1179415884;1182024114	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/033/SRR19762533/SRR19762533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/033/SRR19762533/SRR19762533_2.fastq.gz			1722374502	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/033/SRR19762533/SRR19762533.lite	HG03097		
SRR19762549	SAMN29221231	SRX15807205	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02728_batch12_rep1	1388592231;1392723190	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/049/SRR19762549/SRR19762549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/049/SRR19762549/SRR19762549_2.fastq.gz			2007040617	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/049/SRR19762549/SRR19762549.lite	HG02728		
SRR19762536	SAMN29221271	SRX15807221	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03127_batch14_rep1	1376654701;1378334001	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/036/SRR19762536/SRR19762536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/036/SRR19762536/SRR19762536_2.fastq.gz			1977064047	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/036/SRR19762536/SRR19762536.lite	HG03127		
SRR19762558	SAMN29221221	SRX15807194	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG02643_batch07_rep1	1778717291;1780861316	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/058/SRR19762558/SRR19762558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/058/SRR19762558/SRR19762558_2.fastq.gz			2526719060	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/058/SRR19762558/SRR19762558.lite	HG02643		
